Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2011-01-03 13:00:00,187.0559998,285.0899963,-3.940008545,86.97040665,3.030016521,0,0
2011-01-03 14:00:00,170.5679932,285.0899963,-3.809973145,87.20268599,2.81575933,0,0
2011-01-03 15:00:00,142.2059937,285.0899963,-3.679998779,87.4255344,2.602153002,0,0
2011-01-03 16:00:00,61.23199844,282.3599854,-3.559973145,87.69745359,2.414787762,0,0
2011-01-03 17:00:00,21.46299934,282.3599854,-3.859960937,89.56366019,2.238146542,0,0
2011-01-03 18:00:00,0,282.3599854,-4.169989014,91.54726151,2.061552801,0,0
2011-01-03 19:00:00,0,286.980011,-4.470007324,93.50594852,1.885019883,0,0
2011-01-03 20:00:00,0,286.980011,-4.419989014,93.26738945,2.133565087,0,0
2011-01-03 21:00:00,0,286.980011,-4.370001221,93.02963864,2.392070229,0.0012528,0
2011-01-03 22:00:00,0,286.0599976,-4.320013428,92.79250149,2.637972719,0,0
2011-01-03 23:00:00,0,286.0599976,-4.370001221,92.5746939,2.486543814,0,0
2011-01-04 00:00:00,0,286.0599976,-4.410009766,92.28534526,2.645940399,0,0
2011-01-04 01:00:00,0,272.519989,-4.459997559,92.06370674,3.062760173,0,0
2011-01-04 02:00:00,0,272.519989,-4.829992676,91.98949112,3.224158886,0,0
2011-01-04 03:00:00,0,272.52005,-5.199987793,91.85049697,3.390929023,0,0
2011-01-04 04:00:00,0,246.7400055,-5.569952393,91.63875749,3.548661791,0,0
2011-01-04 05:00:00,0,246.7400055,-6.070013428,90.38526412,3.899551307,0,0
2011-01-04 06:00:00,0,246.7400055,-6.570013428,88.905713,4.260903713,0,0
2011-01-04 07:00:00,0,250.4100037,-7.070013428,87.1785169,4.651075188,0,0
2011-01-04 08:00:00,0,250.4100037,-7.709997559,86.2407253,4.961662992,0,0
2011-01-04 09:00:00,41.77099991,250.4100037,-8.340002441,84.94332059,5.283938019,0,0
2011-01-04 10:00:00,173.5529938,218.3899994,-8.970007324,83.32364427,5.599232197,0,0
2011-01-04 11:00:00,264.0620117,218.3899994,-8.810003662,82.51850795,5.505633321,0,0
2011-01-04 12:00:00,337.230011,218.3899994,-8.660009766,81.7861301,5.426600985,0,0
2011-01-04 13:00:00,418.5549927,178.1300049,-8.500006104,81.00256591,5.350233744,0,0
2011-01-04 14:00:00,382.0559998,178.1300049,-8.429968262,80.78505125,5.195113049,0,0
2011-01-04 15:00:00,319.1000061,178.1300049,-8.370001221,80.63125269,5.056678817,0.0003528,0
2011-01-04 16:00:00,175.1620026,175.5599976,-8.299993896,80.41923763,4.921148387,0,0
2011-01-04 17:00:00,62.68799973,175.5599976,-9.239996338,83.59792978,4.188902115,0,0
2011-01-04 18:00:00,0,175.5599976,-10.17999878,86.84335651,3.466251644,0,0
2011-01-04 19:00:00,0,168.9499969,-11.12000122,90.14573933,2.737608474,0,0
2011-01-04 20:00:00,0,168.9499969,-11.65,90.12530589,2.710295225,0,0
2011-01-04 21:00:00,0,168.9499969,-12.19000854,90.01561992,2.716707622,0,0
