"PERMANENT_ID","lake.name","date","depth","temp","doobs"
131843856,"Big Moose",1995-08-07 00:00:00,8,17.8,7.7
131843856,"Big Moose",1995-08-07 00:00:00,9,16.2,8.1
131843856,"Big Moose",1995-08-07 00:00:00,10,14.4,8.5
131843856,"Big Moose",1995-08-07 00:00:00,11,12.7,8.5
131843856,"Big Moose",1995-08-07 00:00:00,12,11.5,8.7
131843856,"Big Moose",1995-08-07 00:00:00,13,10.1,8.8
131843856,"Big Moose",1995-08-07 00:00:00,14,8.8,9
131843856,"Big Moose",1995-08-07 00:00:00,15,7.6,9.1
131843856,"Big Moose",1995-08-07 00:00:00,16,7.1,9
131843856,"Big Moose",1995-08-07 00:00:00,17,7,8.7
131843856,"Big Moose",1995-08-07 00:00:00,18,6.9,8.6
131843856,"Big Moose",1995-08-07 00:00:00,19,6.8,8.5
131843856,"Big Moose",1995-08-07 00:00:00,20,6.6,8.2
131843856,"Big Moose",1995-08-07 00:00:00,21,6.6,8.1
131843856,"Big Moose",1995-09-12 00:00:00,0,19,8.3
131843856,"Big Moose",1995-09-12 00:00:00,1,19,8.3
131843856,"Big Moose",1995-09-12 00:00:00,2,19,8.3
131843856,"Big Moose",1995-09-12 00:00:00,3,19,8.2
131843856,"Big Moose",1995-09-12 00:00:00,4,19,8.2
131843856,"Big Moose",1995-09-12 00:00:00,5,19,8.2
131843856,"Big Moose",1995-09-12 00:00:00,6,19,8.1
131843856,"Big Moose",1995-09-12 00:00:00,7,19,8.2
131843856,"Big Moose",1995-09-12 00:00:00,8,19,8.1
131843856,"Big Moose",1995-09-12 00:00:00,9,18.8,8.1
131843856,"Big Moose",1995-09-12 00:00:00,10,18,7.6
131843856,"Big Moose",1995-09-12 00:00:00,11,14.6,6.9
131843856,"Big Moose",1995-09-12 00:00:00,12,12.2,6.9
131843856,"Big Moose",1995-09-12 00:00:00,13,9.8,6.9
131843856,"Big Moose",1995-09-12 00:00:00,14,9,6.8
131843856,"Big Moose",1995-09-12 00:00:00,15,8.3,7.5
131843856,"Big Moose",1995-09-12 00:00:00,16,7.5,6.2
131843856,"Big Moose",1995-09-12 00:00:00,17,7.5,6
131843856,"Big Moose",1995-09-12 00:00:00,18,7.5,5.7
131843856,"Big Moose",1995-09-12 00:00:00,19,7.1,5.5
131843856,"Big Moose",1995-09-12 00:00:00,20,7,5.1
131843856,"Big Moose",1995-09-12 00:00:00,21,7,4.9
131843856,"Big Moose",1995-09-12 00:00:00,22,7,3.9
131843856,"Big Moose",1996-06-26 00:00:00,0,19.6,8
131843856,"Big Moose",1996-06-26 00:00:00,1,19.6,7.9
131843856,"Big Moose",1996-06-26 00:00:00,2,19.6,7.9
131843856,"Big Moose",1996-06-26 00:00:00,3,19.5,7.9
131843856,"Big Moose",1996-06-26 00:00:00,4,17.6,8.1
131843856,"Big Moose",1996-06-26 00:00:00,5,14,8.1
131843856,"Big Moose",1996-06-26 00:00:00,6,11.1,8.9
131843856,"Big Moose",1996-06-26 00:00:00,7,10,9.1
131843856,"Big Moose",1996-06-26 00:00:00,8,9.7,9.1
131843856,"Big Moose",1996-06-26 00:00:00,9,9.3,9.1
131843856,"Big Moose",1996-06-26 00:00:00,10,8.9,9.3
131843856,"Big Moose",1996-06-26 00:00:00,11,8.7,9.3
131843856,"Big Moose",1996-06-26 00:00:00,12,8.6,9.3
131843856,"Big Moose",1996-06-26 00:00:00,13,8.2,9.4
131843856,"Big Moose",1996-06-26 00:00:00,14,7.6,9.4
131843856,"Big Moose",1996-06-26 00:00:00,15,7.3,9.4
131843856,"Big Moose",1996-06-26 00:00:00,16,6.7,9.3
131843856,"Big Moose",1996-06-26 00:00:00,17,6.5,9.2
131843856,"Big Moose",1996-06-26 00:00:00,18,6.3,9.1
131843856,"Big Moose",1996-07-23 00:00:00,0,21.2,8.3
131843856,"Big Moose",1996-07-23 00:00:00,1,21,8.3
131843856,"Big Moose",1996-07-23 00:00:00,2,19.9,8.3
131843856,"Big Moose",1996-07-23 00:00:00,3,19.3,8.3
131843856,"Big Moose",1996-07-23 00:00:00,4,18.9,8.2
131843856,"Big Moose",1996-07-23 00:00:00,5,18.4,8
131843856,"Big Moose",1996-07-23 00:00:00,6,16.8,7.9
131843856,"Big Moose",1996-07-23 00:00:00,7,12.9,8
131843856,"Big Moose",1996-07-23 00:00:00,8,11.3,8.2
131843856,"Big Moose",1996-07-23 00:00:00,9,10.5,8.3
131843856,"Big Moose",1996-07-23 00:00:00,10,10.1,8.4
131843856,"Big Moose",1996-07-23 00:00:00,11,9.6,8.5
131843856,"Big Moose",1996-07-23 00:00:00,12,8.9,8.6
131843856,"Big Moose",1996-07-23 00:00:00,13,8.1,8.8
131843856,"Big Moose",1996-07-23 00:00:00,14,7.7,8.7
131843856,"Big Moose",1996-07-23 00:00:00,15,7.2,8.7
131843856,"Big Moose",1996-07-23 00:00:00,16,6.9,8.5
131843856,"Big Moose",1996-07-23 00:00:00,17,6.7,8.4
131843856,"Big Moose",1996-07-23 00:00:00,18,6.7,8.3
131843856,"Big Moose",1996-07-23 00:00:00,19,6.6,8.2
131843856,"Big Moose",1996-07-23 00:00:00,20,6.6,8.2
131843856,"Big Moose",1996-07-23 00:00:00,21,6.5,8.1
131843856,"Big Moose",1996-08-20 00:00:00,0,22.1,8.3
131843856,"Big Moose",1996-08-20 00:00:00,1,22.1,8.2
131843856,"Big Moose",1996-08-20 00:00:00,2,22,8.2
131843856,"Big Moose",1996-08-20 00:00:00,3,22,8.2
131843856,"Big Moose",1996-08-20 00:00:00,4,21.3,8.1
131843856,"Big Moose",1996-08-20 00:00:00,5,19.8,7.5
131843856,"Big Moose",1996-08-20 00:00:00,6,18.4,7
131843856,"Big Moose",1996-08-20 00:00:00,7,15.5,6.7
131843856,"Big Moose",1996-08-20 00:00:00,8,12.4,7.1
131843856,"Big Moose",1996-08-20 00:00:00,9,11.4,7.4
131843856,"Big Moose",1996-08-20 00:00:00,10,10.9,7.5
131843856,"Big Moose",1996-08-20 00:00:00,11,10.3,7.5
131843856,"Big Moose",1996-08-20 00:00:00,12,9.5,7.6
131843856,"Big Moose",1996-08-20 00:00:00,13,8.8,7.8
131843856,"Big Moose",1996-08-20 00:00:00,14,7.7,7.9
131843856,"Big Moose",1996-08-20 00:00:00,15,7.2,8
131843856,"Big Moose",1996-08-20 00:00:00,16,6.9,7.7
131843856,"Big Moose",1996-08-20 00:00:00,17,6.7,7.4
131843856,"Big Moose",1996-08-20 00:00:00,18,6.7,7.3
131843856,"Big Moose",1996-08-20 00:00:00,19,6.6,7.2
131843856,"Big Moose",1996-08-20 00:00:00,20,6.6,7.2
131843856,"Big Moose",1996-08-20 00:00:00,21,6.6,7.1
131843856,"Big Moose",1997-07-09 00:00:00,0,20.3,8.2
131843856,"Big Moose",1997-07-09 00:00:00,1,20,8.2
131843856,"Big Moose",1997-07-09 00:00:00,2,19.8,8.3
131843856,"Big Moose",1997-07-09 00:00:00,3,19.8,8.3
131843856,"Big Moose",1997-07-09 00:00:00,4,19.7,8.3
131843856,"Big Moose",1997-07-09 00:00:00,5,19.2,8.3
131843856,"Big Moose",1997-07-09 00:00:00,6,13.5,9.3
131843856,"Big Moose",1997-07-09 00:00:00,7,11.4,9.6
131843856,"Big Moose",1997-07-09 00:00:00,8,10.5,9.8
131843856,"Big Moose",1997-07-09 00:00:00,9,9.7,9.8
131843856,"Big Moose",1997-07-09 00:00:00,10,9.1,9.9
131843856,"Big Moose",1997-07-09 00:00:00,11,8.4,9.9
131843856,"Big Moose",1997-07-09 00:00:00,12,8.1,9.9
131843856,"Big Moose",1997-07-09 00:00:00,13,7.6,9.8
131843856,"Big Moose",1997-07-09 00:00:00,14,7.5,9.8
131843856,"Big Moose",1997-07-09 00:00:00,15,7.3,9.7
131843856,"Big Moose",1997-07-09 00:00:00,20,7.1,9.5
131843856,"Big Moose",1997-07-09 00:00:00,21,7.1,9.3
131843856,"Big Moose",1997-08-19 00:00:00,0,20.2,7.8
131843856,"Big Moose",1997-08-19 00:00:00,1,20.2,7.9
131843856,"Big Moose",1997-08-19 00:00:00,2,20,7.8
131843856,"Big Moose",1997-08-19 00:00:00,3,19.9,7.9
131843856,"Big Moose",1997-08-19 00:00:00,4,19.9,7.9
131843856,"Big Moose",1997-08-19 00:00:00,5,19.8,7.9
131843856,"Big Moose",1997-08-19 00:00:00,6,18.2,7.3
131843856,"Big Moose",1997-08-19 00:00:00,7,15.3,7.2
131843856,"Big Moose",1997-08-19 00:00:00,8,12.2,7.5
131843856,"Big Moose",1997-08-19 00:00:00,9,11.3,7.7
131843856,"Big Moose",1997-08-19 00:00:00,10,10.7,7.8
131843856,"Big Moose",1997-08-19 00:00:00,11,9.9,8
131843856,"Big Moose",1997-08-19 00:00:00,12,9.1,8.1
131843856,"Big Moose",1997-08-19 00:00:00,13,8.3,8.3
131843856,"Big Moose",1997-08-19 00:00:00,14,7.9,8.4
131843856,"Big Moose",1997-08-19 00:00:00,15,7.5,8.3
131843856,"Big Moose",1997-08-19 00:00:00,16,7.2,8.1
131843856,"Big Moose",1997-08-19 00:00:00,17,7,7.9
131843856,"Big Moose",1997-08-19 00:00:00,18,6.9,7.6
131843856,"Big Moose",1997-08-19 00:00:00,19,6.8,7.4
131843856,"Big Moose",1997-08-19 00:00:00,20,6.8,7.3
131843856,"Big Moose",1997-08-19 00:00:00,21,6.8,7.2
131843856,"Big Moose",1998-07-14 00:00:00,0,21.1,8.3
131843856,"Big Moose",1998-07-14 00:00:00,1,21,8.3
131843856,"Big Moose",1998-07-14 00:00:00,2,20.6,8.3
131843856,"Big Moose",1998-07-14 00:00:00,3,20.5,8.3
131843856,"Big Moose",1998-07-14 00:00:00,4,20,8.3
131843856,"Big Moose",1998-07-14 00:00:00,5,15.5,8.1
131843856,"Big Moose",1998-07-14 00:00:00,6,13.9,8.4
131843856,"Big Moose",1998-07-14 00:00:00,7,12.7,8.5
131843856,"Big Moose",1998-07-14 00:00:00,8,12.1,8.6
131843856,"Big Moose",1998-07-14 00:00:00,9,11.6,8.6
131843856,"Big Moose",1998-07-14 00:00:00,10,10.9,8.7
131843856,"Big Moose",1998-07-14 00:00:00,11,10.4,8.7
131843856,"Big Moose",1998-07-14 00:00:00,12,8.9,8.9
131843856,"Big Moose",1998-07-14 00:00:00,13,8.1,8.9
131843856,"Big Moose",1998-07-14 00:00:00,14,7.4,8.9
131843856,"Big Moose",1998-07-14 00:00:00,15,6.8,8.8
131843856,"Big Moose",1998-07-14 00:00:00,16,6.6,8.6
131843856,"Big Moose",1998-07-14 00:00:00,17,6.5,8.5
131843856,"Big Moose",1998-07-14 00:00:00,18,6.5,8.4
131843856,"Big Moose",1998-07-14 00:00:00,19,6.4,8.3
131843856,"Big Moose",1998-07-14 00:00:00,20,6.4,8.3
131843856,"Big Moose",1998-08-17 00:00:00,0,22,9.3
131843856,"Big Moose",1998-08-17 00:00:00,1,21.9,9.2
131843856,"Big Moose",1998-08-17 00:00:00,2,21.9,9
131843856,"Big Moose",1998-08-17 00:00:00,3,21.9,9
131843856,"Big Moose",1998-08-17 00:00:00,4,21.8,9
131843856,"Big Moose",1998-08-17 00:00:00,5,21.8,8.9
131843856,"Big Moose",1998-08-17 00:00:00,6,20,8.2
131843856,"Big Moose",1998-08-17 00:00:00,7,15.9,7.2
131843856,"Big Moose",1998-08-17 00:00:00,8,13.3,7.5
131843856,"Big Moose",1998-08-17 00:00:00,9,12.2,7.9
131843856,"Big Moose",1998-08-17 00:00:00,10,11.6,7.9
131843856,"Big Moose",1998-08-17 00:00:00,11,10.9,7.8
131843856,"Big Moose",1998-08-17 00:00:00,12,9.5,8.1
131843856,"Big Moose",1998-08-17 00:00:00,13,8.6,8.2
131843856,"Big Moose",1998-08-17 00:00:00,14,7.9,8.2
131843856,"Big Moose",1998-08-17 00:00:00,15,7.1,8
131843856,"Big Moose",1998-08-17 00:00:00,16,6.9,7.8
131843856,"Big Moose",1998-08-17 00:00:00,17,6.8,7.6
131843856,"Big Moose",1998-08-17 00:00:00,18,6.7,7.4
131843856,"Big Moose",1998-08-17 00:00:00,19,6.6,7.4
131843856,"Big Moose",1998-08-17 00:00:00,20,6.6,7.3
131843856,"Big Moose",1998-08-17 00:00:00,21,6.6,7.1
131843856,"Big Moose",1998-08-17 00:00:00,22,6.6,7
131843856,"Big Moose",1999-06-30 00:00:00,0,22.1,8.1
131843856,"Big Moose",1999-06-30 00:00:00,1,21.6,8
131843856,"Big Moose",1999-06-30 00:00:00,2,21.4,7.9
131843856,"Big Moose",1999-06-30 00:00:00,3,21.2,8
131843856,"Big Moose",1999-06-30 00:00:00,4,21.1,8
131843856,"Big Moose",1999-06-30 00:00:00,5,15.5,8.5
131843856,"Big Moose",1999-06-30 00:00:00,6,12.3,8.8
131843856,"Big Moose",1999-06-30 00:00:00,7,11,8.8
131843856,"Big Moose",1999-06-30 00:00:00,8,9.5,9.1
131843856,"Big Moose",1999-06-30 00:00:00,9,9.4,9.1
131843856,"Big Moose",1999-06-30 00:00:00,10,8.8,9.2
131843856,"Big Moose",1999-06-30 00:00:00,11,8.2,9.3
131843856,"Big Moose",1999-06-30 00:00:00,12,7.7,9.3
131843856,"Big Moose",1999-06-30 00:00:00,13,7.3,9.4
131843856,"Big Moose",1999-06-30 00:00:00,14,6.5,9.5
131843856,"Big Moose",1999-06-30 00:00:00,15,6,9.5
131843856,"Big Moose",1999-06-30 00:00:00,16,5.7,9.6
131843856,"Big Moose",1999-06-30 00:00:00,17,5.2,9.5
131843856,"Big Moose",1999-08-24 00:00:00,0,20.8,8.5
131843856,"Big Moose",1999-08-24 00:00:00,1,20.6,8.6
131843856,"Big Moose",1999-08-24 00:00:00,2,20,8.6
131843856,"Big Moose",1999-08-24 00:00:00,3,19.6,8.7
131843856,"Big Moose",1999-08-24 00:00:00,4,19.2,8.6
131843856,"Big Moose",1999-08-24 00:00:00,5,19.1,8.6
131843856,"Big Moose",1999-08-24 00:00:00,6,19,8.5
131843856,"Big Moose",1999-08-24 00:00:00,7,16,7
131843856,"Big Moose",1999-08-24 00:00:00,8,13.5,7
131843856,"Big Moose",1999-08-24 00:00:00,9,12,7.1
131843856,"Big Moose",1999-08-24 00:00:00,10,10.5,7.4
131843856,"Big Moose",1999-08-24 00:00:00,11,9.3,7.6
131843856,"Big Moose",1999-08-24 00:00:00,12,8.2,7.9
131843856,"Big Moose",1999-08-24 00:00:00,13,7.5,8.1
131843856,"Big Moose",1999-08-24 00:00:00,14,7,8.2
131843856,"Big Moose",1999-08-24 00:00:00,15,6.5,8.4
131843856,"Big Moose",1999-08-24 00:00:00,16,6,8.1
131843856,"Big Moose",1999-08-24 00:00:00,17,5.7,7.7
131843856,"Big Moose",1999-08-24 00:00:00,18,5.5,7.5
131843856,"Big Moose",1999-08-24 00:00:00,19,5.5,1.6
131843856,"Big Moose",2000-07-19 00:00:00,0,20,9.7
131843856,"Big Moose",2000-07-19 00:00:00,1,20,9.6
131843856,"Big Moose",2000-07-19 00:00:00,2,20,9.6
