datehour,variablelong,depth,value,hour,dates,day_night
2017-01-01T14:00:00Z,water_temp,30,26.226438112135696,14,2017-01-01,day
2017-01-01T14:00:00Z,water_temp,40,26.18808879422435,14,2017-01-01,day
2017-01-01T14:00:00Z,water_temp,50,25.955813702818578,14,2017-01-01,day
2017-01-01T15:00:00Z,water_temp,10,26.627730906624624,15,2017-01-01,night
2017-01-01T15:00:00Z,water_temp,20,26.59757067893958,15,2017-01-01,night
2017-01-01T15:00:00Z,water_temp,30,26.22481504543608,15,2017-01-01,night
2017-01-01T15:00:00Z,water_temp,40,26.197780935251796,15,2017-01-01,night
2017-01-01T15:00:00Z,water_temp,50,25.942615563419682,15,2017-01-01,night
2017-01-01T16:00:00Z,water_temp,10,26.636999313573806,16,2017-01-01,night
2017-01-01T16:00:00Z,water_temp,20,26.593811456624884,16,2017-01-01,night
2017-01-01T16:00:00Z,water_temp,30,26.22721025029584,16,2017-01-01,night
2017-01-01T16:00:00Z,water_temp,40,26.20914725108153,16,2017-01-01,night
2017-01-01T16:00:00Z,water_temp,50,25.944473497069986,16,2017-01-01,night
2017-01-01T17:00:00Z,water_temp,10,26.64429132093928,17,2017-01-01,night
2017-01-01T17:00:00Z,water_temp,20,26.587487740162157,17,2017-01-01,night
2017-01-01T17:00:00Z,water_temp,30,26.232781711835138,17,2017-01-01,night
2017-01-01T17:00:00Z,water_temp,40,26.210032463545872,17,2017-01-01,night
2017-01-01T17:00:00Z,water_temp,50,25.896437505533946,17,2017-01-01,night
2017-01-01T18:00:00Z,water_temp,10,26.641251502830627,18,2017-01-01,night
2017-01-01T18:00:00Z,water_temp,20,26.523228942892544,18,2017-01-01,night
2017-01-01T18:00:00Z,water_temp,30,26.254744434158436,18,2017-01-01,night
2017-01-01T18:00:00Z,water_temp,40,26.208253536794032,18,2017-01-01,night
2017-01-01T18:00:00Z,water_temp,50,25.920646756668006,18,2017-01-01,night
2017-01-01T19:00:00Z,water_temp,10,26.636050542154628,19,2017-01-01,night
2017-01-01T19:00:00Z,water_temp,20,26.424271563650155,19,2017-01-01,night
2017-01-01T19:00:00Z,water_temp,30,26.27512913424314,19,2017-01-01,night
2017-01-01T19:00:00Z,water_temp,40,26.217332968558953,19,2017-01-01,night
2017-01-01T19:00:00Z,water_temp,50,25.94649811136636,19,2017-01-01,night
2017-01-01T20:00:00Z,water_temp,10,26.636147163367408,20,2017-01-01,night
2017-01-01T20:00:00Z,water_temp,20,26.421717754312596,20,2017-01-01,night
2017-01-01T20:00:00Z,water_temp,30,26.330290636316093,20,2017-01-01,night
